Stage;Segment;Experience Level;Product Tier;CampaignType;Industry;Market Maturity;Territory;Country;State Province;Created Date;CloseDate;Status;Units;Revenue;ClosePct;Product Name;Product Category;List Price
Qualification;Enterprise;Senior;Standard;Webinar;Retail;Mature;North America;United States;New York;2023-01-28;2023-02-18;Lost;492;98996,87;0,3;Smart Speaker Mini;Devices;201
Prospecting;Mid-Market;Senior;Premium;Webinar;Technology;Growth;APAC;Australia;Victoria;2023-01-24;2023-02-18;Lost;54;42766,9;0,0;"E-reader Platinum 8"" 32 GB";Devices;780
Negotiation;Mid-Market;Principal;Basic;Webinar;Education;Mature;EMEA;France;Auvergne-Rhône-Alpes;2023-01-05;2023-02-19;Won;1075;31194,05;0,7;Stylus Pro;Accessories;29
Prospecting;Mid-Market;Senior;Premium;Conference;Government;Mature;North America;United States;New York;2023-01-19;2023-02-20;Lost;74;51524,4;0,1;"Tablet Pro 11"" 128 GB";Devices;694
Prospecting;Mid-Market;Junior;Premium;Conference;Government;Mature;EMEA;United Kingdom;Scotland;2023-02-11;2023-02-24;Lost;28;38840,17;0,1;Onsite Training;Services;1382
Prospecting;Enterprise;Mid-Level;Premium;Conference;Education;Mature;EMEA;Germany;Hesse;2023-02-09;2023-02-24;Won;113;88890,35;0,0;"E-reader Platinum 8"" 32 GB";Devices;780
Proposal;Mid-Market;Senior;Premium;Email Campaign;Finance;Mature;North America;United States;New York;2023-01-04;2023-02-24;Lost;91;78337,38;0,5;Extended Warranty;Services;855
Prospecting;Mid-Market;Principal;Basic;Partner Program;Technology;Growth;APAC;Japan;Tokyo;2023-02-15;2023-02-27;Lost;682;68243,29;0,1;"E-reader Lite 6"" 8 GB";Devices;100
Proposal;Mid-Market;Senior;Basic;Digital Ads;Government;Emerging;LATAM;Mexico;Mexico City;2023-02-12;2023-03-02;Won;1054;30594,16;0,5;Stylus Pro;Accessories;29
Proposal;Enterprise;Junior;Basic;Digital Ads;Finance;Growth;APAC;India;Maharashtra;2023-01-20;2023-03-04;Won;893;89310,96;0,4;"E-reader Lite 6"" 8 GB";Devices;100
Negotiation;Enterprise;Mid-Level;Premium;Digital Ads;Healthcare;Mature;North America;United States;Texas;2023-01-30;2023-03-05;Lost;182;99646,41;0,7;Smart Speaker Max;Devices;546
Negotiation;Enterprise;Mid-Level;Premium;Email Campaign;Finance;Mature;EMEA;United Kingdom;England;2023-02-23;2023-03-05;Won;121;167280,91;0,6;Onsite Training;Services;1382
Qualification;Mid-Market;Mid-Level;Basic;Partner Program;Government;Mature;EMEA;Germany;Hesse;2023-02-10;2023-03-06;Won;301;35296,01;0,4;Cloud Sync Pro;Software;117
Proposal;Mid-Market;Principal;Standard;Webinar;Retail;Mature;North America;Canada;Quebec;2023-01-30;2023-03-10;Won;352;56421,73;0,6;Office Suite Enterprise;Software;160
Qualification;Enterprise;Junior;Basic;Digital Ads;Manufacturing;Mature;EMEA;United Kingdom;England;2023-02-12;2023-03-11;Lost;1328;132877,83;0,3;"E-reader Lite 6"" 8 GB";Devices;100
Qualification;Mid-Market;Principal;Basic;Conference;Government;Mature;EMEA;Spain;Madrid;2023-02-18;2023-03-12;Lost;336;39382,45;0,4;Cloud Sync Pro;Software;117
Final Review;Mid-Market;Senior;Basic;Email Campaign;Healthcare;Mature;North America;United States;Texas;2023-02-17;2023-03-13;Won;362;42468,46;0,9;"Protective Case 6""";Accessories;117
Qualification;Enterprise;Mid-Level;Standard;Conference;Manufacturing;Mature;North America;United States;New York;2023-02-08;2023-03-13;Lost;364;89011,59;0,4;ReadingPlus Annual;Software;244
Prospecting;Mid-Market;Principal;Basic;Webinar;Finance;Growth;APAC;Japan;Osaka;2023-02-02;2023-03-14;Lost;721;47643,24;0,0;Wireless Charger Pad;Accessories;66
Negotiation;Mid-Market;Mid-Level;Premium;Digital Ads;Government;Emerging;LATAM;Mexico;Jalisco;2023-03-01;2023-03-14;Lost;101;55184,08;0,7;Smart Speaker Max;Devices;546
Qualification;Enterprise;Principal;Premium;Digital Ads;Healthcare;Mature;North America;United States;Washington;2023-01-11;2023-03-14;Won;174;121096,85;0,2;"Tablet Pro 11"" 128 GB";Devices;694
Prospecting;Mid-Market;Senior;Basic;Email Campaign;Manufacturing;Mature;North America;United States;California;2023-02-03;2023-03-14;Lost;233;20072,07;0,0;Travel Adapter Kit;Accessories;86
Prospecting;Mid-Market;Junior;Basic;Email Campaign;Manufacturing;Emerging;LATAM;Mexico;Jalisco;2023-02-05;2023-03-15;Lost;374;48295,94;0,1;Parental Control Suite;Software;129
Proposal;Mid-Market;Mid-Level;Basic;Conference;Government;Mature;EMEA;Germany;Bavaria;2023-02-23;2023-03-15;Lost;173;22317,37;0,6;Parental Control Suite;Software;129
Proposal;Mid-Market;Mid-Level;Premium;Email Campaign;Finance;Growth;APAC;Japan;Osaka;2023-02-27;2023-03-16;Lost;42;63148,63;0,5;Data Migration;Services;1487
Negotiation;Mid-Market;Senior;Basic;Digital Ads;Finance;Growth;APAC;India;Delhi;2023-02-25;2023-03-17;Won;580;67892,33;0,7;Cloud Sync Pro;Software;117
Prospecting;Mid-Market;Mid-Level;Premium;Conference;Manufacturing;Growth;APAC;Japan;Osaka;2023-02-07;2023-03-17;Lost;96;75221,33;0,0;"E-reader Platinum 8"" 32 GB";Devices;780
Prospecting;Mid-Market;Mid-Level;Basic;Webinar;Manufacturing;Mature;North America;United States;New York;2023-02-18;2023-03-19;Won;874;57692,96;0,2;Wireless Charger Pad;Accessories;66
Proposal;Enterprise;Mid-Level;Premium;Webinar;Finance;Mature;North America;United States;California;2023-01-17;2023-03-19;Won;309;241266,5;0,6;"E-reader Platinum 8"" 32 GB";Devices;780
Prospecting;Mid-Market;Senior;Basic;Partner Program;Technology;Mature;North America;United States;Washington;2023-02-04;2023-03-20;Lost;408;40895,32;0,0;"E-reader Lite 6"" 8 GB";Devices;100
Prospecting;Mid-Market;Mid-Level;Standard;Partner Program;Government;Mature;North America;United States;California;2023-02-22;2023-03-22;Won;243;38957,1;0,1;Office Suite Enterprise;Software;160
Negotiation;Mid-Market;Mid-Level;Premium;Conference;Finance;Emerging;LATAM;Mexico;Mexico City;2023-01-30;2023-03-22;Won;57;48906,5;0,7;Extended Warranty;Services;855
Prospecting;SMB;Mid-Level;Basic;Partner Program;Government;Mature;EMEA;Germany;Hesse;2023-02-06;2023-03-23;Won;283;18680,97;0,2;Wireless Charger Pad;Accessories;66
Negotiation;Enterprise;Principal;Premium;Conference;Healthcare;Mature;North America;Canada;British Columbia;2023-03-02;2023-03-24;Won;75;103848,37;0,6;Onsite Training;Services;1382
Qualification;Enterprise;Senior;Premium;Partner Program;Manufacturing;Mature;EMEA;France;Île-de-France;2023-02-18;2023-03-26;Lost;197;154413;0,3;"E-reader Platinum 8"" 32 GB";Devices;780
Proposal;Enterprise;Mid-Level;Basic;Webinar;Finance;Growth;APAC;India;Delhi;2023-03-04;2023-03-27;Won;960;82602,06;0,5;Travel Adapter Kit;Accessories;86
Proposal;Mid-Market;Junior;Premium;Partner Program;Government;Growth;APAC;India;Maharashtra;2023-03-04;2023-03-27;Won;46;37917,8;0,5;Premium Support;Services;819
Proposal;Enterprise;Principal;Premium;Webinar;Finance;Mature;North America;Canada;Ontario;2023-02-11;2023-03-28;Won;189;103551,76;0,5;Smart Speaker Max;Devices;546
Qualification;Mid-Market;Mid-Level;Premium;Digital Ads;Finance;Mature;North America;United States;Texas;2023-01-23;2023-03-28;Won;73;60492,81;0,4;Premium Support;Services;819
Negotiation;Mid-Market;Mid-Level;Basic;Webinar;Technology;Mature;EMEA;France;Auvergne-Rhône-Alpes;2023-02-08;2023-03-29;Lost;211;22648,9;0,7;Premium Headphones;Accessories;107
Negotiation;Enterprise;Mid-Level;Premium;Conference;Retail;Growth;APAC;India;Karnataka;2023-01-15;2023-03-29;Won;127;88365,87;0,7;"Tablet Pro 11"" 128 GB";Devices;694
Prospecting;Mid-Market;Principal;Basic;Email Campaign;Healthcare;Mature;EMEA;France;Auvergne-Rhône-Alpes;2023-02-11;2023-03-30;Lost;535;62700,82;0,0;"Protective Case 6""";Accessories;117
Final Review;Mid-Market;Senior;Basic;Email Campaign;Finance;Mature;EMEA;France;Île-de-France;2023-03-17;2023-03-31;Won;355;41638,61;1,0;"Protective Case 6""";Accessories;117
Prospecting;Mid-Market;Junior;Basic;Webinar;Manufacturing;Mature;EMEA;Spain;Catalonia;2023-03-12;2023-03-31;Lost;493;63658,96;0,1;Parental Control Suite;Software;129
Proposal;Mid-Market;Senior;Basic;Webinar;Healthcare;Growth;APAC;India;Maharashtra;2023-01-31;2023-04-01;Won;539;57690,79;0,5;Premium Headphones;Accessories;107
Proposal;Mid-Market;Principal;Basic;Conference;Manufacturing;Growth;APAC;Australia;Victoria;2023-01-19;2023-04-01;Won;1023;29683,91;0,6;Stylus Pro;Accessories;29
Qualification;Mid-Market;Junior;Basic;Conference;Government;Mature;EMEA;France;Île-de-France;2023-03-20;2023-04-02;Lost;278;32568,75;0,2;"Protective Case 6""";Accessories;117
Qualification;Mid-Market;Senior;Premium;Conference;Retail;Mature;EMEA;Denmark;Hovedstaden;2023-03-02;2023-04-02;Lost;106;58202,57;0,4;Smart Speaker Max;Devices;546
Proposal;Mid-Market;Senior;Basic;Digital Ads;Manufacturing;Growth;APAC;India;Delhi;2023-03-16;2023-04-02;Lost;429;28372,79;0,6;Wireless Charger Pad;Accessories;66
Prospecting;Mid-Market;Senior;Premium;Webinar;Government;Mature;EMEA;Denmark;Hovedstaden;2023-02-21;2023-04-03;Lost;91;49823,39;0,1;Smart Speaker Max;Devices;546
Proposal;Mid-Market;Junior;Basic;Digital Ads;Manufacturing;Growth;APAC;India;Karnataka;2023-03-11;2023-04-03;Lost;331;38799,15;0,5;"Protective Case 6""";Accessories;117
Prospecting;Mid-Market;Mid-Level;Basic;Email Campaign;Technology;Growth;APAC;Japan;Osaka;2023-02-20;2023-04-05;Lost;611;40326,38;0,0;Wireless Charger Pad;Accessories;66
Proposal;Mid-Market;Principal;Standard;Webinar;Healthcare;Mature;EMEA;Germany;Bavaria;2023-01-16;2023-04-06;Won;201;79297,96;0,5;Installation Service;Services;393
Negotiation;Mid-Market;Senior;Premium;Conference;Healthcare;Mature;EMEA;Germany;Hesse;2023-02-08;2023-04-06;Won;66;54651,7;0,6;Premium Support;Services;819
Qualification;Mid-Market;Principal;Basic;Email Campaign;Manufacturing;Mature;North America;United States;California;2023-03-15;2023-04-09;Won;1021;29617,78;0,4;Stylus Pro;Accessories;29
Proposal;Enterprise;Principal;Premium;Webinar;Finance;Emerging;LATAM;Brazil;São Paulo;2023-03-25;2023-04-10;Won;119;164795,11;0,5;Onsite Training;Services;1382
Qualification;Mid-Market;Principal;Basic;Webinar;Manufacturing;Mature;North America;Canada;Ontario;2023-03-12;2023-04-12;Won;212;24849,7;0,3;"Protective Case 6""";Accessories;117
Negotiation;Mid-Market;Senior;Premium;Email Campaign;Manufacturing;Mature;EMEA;Denmark;Hovedstaden;2023-03-07;2023-04-12;Lost;141;77353,58;0,7;Smart Speaker Max;Devices;546
Prospecting;Mid-Market;Principal;Premium;Partner Program;Government;Mature;EMEA;Germany;Bavaria;2023-03-04;2023-04-13;Lost;42;23084,32;0,0;Smart Speaker Max;Devices;546
Qualification;Enterprise;Mid-Level;Basic;Digital Ads;Healthcare;Emerging;LATAM;Mexico;Mexico City;2023-03-11;2023-04-17;Won;1190;119077,94;0,3;"E-reader Lite 6"" 8 GB";Devices;100
Negotiation;Enterprise;Junior;Standard;Email Campaign;Finance;Mature;EMEA;Germany;Hesse;2023-03-25;2023-04-17;Won;435;171206,16;0,6;Installation Service;Services;393
Prospecting;Mid-Market;Principal;Basic;Digital Ads;Manufacturing;Mature;EMEA;United Kingdom;Scotland;2023-03-22;2023-04-17;Lost;570;49073,28;0,0;Travel Adapter Kit;Accessories;86
Proposal;Enterprise;Mid-Level;Premium;Conference;Healthcare;Mature;EMEA;France;Île-de-France;2023-02-17;2023-04-18;Lost;140;115139,73;0,4;Premium Support;Services;819
Proposal;Mid-Market;Mid-Level;Basic;Partner Program;Manufacturing;Mature;EMEA;United Kingdom;Scotland;2023-03-21;2023-04-18;Won;364;42608,62;0,5;"Protective Case 6""";Accessories;117
Negotiation;Enterprise;Senior;Standard;Webinar;Finance;Growth;APAC;India;Maharashtra;2023-03-15;2023-04-19;Won;914;146331,48;0,7;Office Suite Enterprise;Software;160
Proposal;Mid-Market;Principal;Premium;Conference;Finance;Emerging;LATAM;Brazil;Rio de Janeiro;2023-03-09;2023-04-19;Won;92;75609,75;0,5;Premium Support;Services;819
Proposal;Mid-Market;Senior;Standard;Digital Ads;Manufacturing;Mature;North America;Canada;Ontario;2023-02-25;2023-04-21;Lost;357;64795,62;0,4;Office Suite Basic;Software;181
Proposal;Enterprise;Mid-Level;Standard;Conference;Finance;Mature;EMEA;Denmark;Jylland;2023-02-03;2023-04-21;Won;463;83916,29;0,6;Office Suite Basic;Software;181
Negotiation;Mid-Market;Principal;Basic;Conference;Technology;Mature;EMEA;Denmark;Jylland;2023-03-07;2023-04-22;Won;595;39284,06;0,7;Wireless Charger Pad;Accessories;66
Final Review;Mid-Market;Principal;Basic;Conference;Education;Mature;North America;Canada;British Columbia;2023-04-10;2023-04-22;Lost;654;43194,66;0,8;Wireless Charger Pad;Accessories;66
Prospecting;Mid-Market;Junior;Standard;Conference;Technology;Mature;EMEA;United Kingdom;Scotland;2023-03-06;2023-04-23;Lost;199;40088,75;0,2;Smart Speaker Mini;Devices;201
Prospecting;Mid-Market;Mid-Level;Premium;Webinar;Technology;Growth;APAC;India;Maharashtra;2023-03-06;2023-04-23;Lost;81;66360,83;0,1;Premium Support;Services;819
Proposal;Enterprise;Principal;Basic;Conference;Education;Mature;North America;Canada;British Columbia;2023-03-04;2023-04-25;Lost;685;80234,7;0,5;Cloud Sync Pro;Software;117
Qualification;Enterprise;Mid-Level;Premium;Email Campaign;Manufacturing;Growth;APAC;India;Maharashtra;2023-03-02;2023-04-26;Lost;135;111193,21;0,2;Premium Support;Services;819
Proposal;Mid-Market;Junior;Premium;Partner Program;Manufacturing;Growth;APAC;Japan;Tokyo;2023-02-23;2023-04-26;Won;30;41905,58;0,4;Onsite Training;Services;1382
Qualification;Mid-Market;Principal;Basic;Partner Program;Retail;Mature;North America;Canada;British Columbia;2023-02-19;2023-04-27;Won;603;70562,4;0,3;"Protective Case 6""";Accessories;117
Proposal;Mid-Market;Principal;Basic;Webinar;Healthcare;Mature;EMEA;Germany;Bavaria;2023-03-08;2023-04-28;Won;1905;55251,77;0,4;Stylus Pro;Accessories;29
Prospecting;Mid-Market;Mid-Level;Basic;Email Campaign;Finance;Emerging;LATAM;Brazil;São Paulo;2023-04-06;2023-04-30;Lost;328;35180,78;0,1;Premium Headphones;Accessories;107
Prospecting;Mid-Market;Senior;Premium;Conference;Education;Mature;EMEA;France;Île-de-France;2023-02-25;2023-05-01;Lost;50;43435,33;0,0;Extended Warranty;Services;855
Prospecting;Mid-Market;Junior;Standard;Digital Ads;Finance;Mature;EMEA;Spain;Catalonia;2023-04-04;2023-05-02;Lost;438;70190,26;0,0;Office Suite Enterprise;Software;160
Proposal;Mid-Market;Junior;Basic;Digital Ads;Healthcare;Mature;EMEA;Denmark;Jylland;2023-02-08;2023-05-02;Won;553;36541,05;0,6;Wireless Charger Pad;Accessories;66
Proposal;Enterprise;Mid-Level;Premium;Conference;Manufacturing;Mature;North America;Canada;British Columbia;2023-02-16;2023-05-03;Won;60;89229,91;0,4;Data Migration;Services;1487
Negotiation;Mid-Market;Junior;Basic;Email Campaign;Healthcare;Mature;EMEA;France;Auvergne-Rhône-Alpes;2023-04-21;2023-05-04;Lost;610;40283,74;0,6;Wireless Charger Pad;Accessories;66
Prospecting;Mid-Market;Junior;Standard;Digital Ads;Healthcare;Emerging;LATAM;Mexico;Mexico City;2023-02-18;2023-05-04;Lost;150;59063,31;0,1;Installation Service;Services;393
Final Review;Enterprise;Senior;Basic;Partner Program;Finance;Mature;North America;United States;New York;2023-04-18;2023-05-04;Lost;701;82109,4;0,8;Cloud Sync Pro;Software;117
Proposal;Mid-Market;Senior;Basic;Email Campaign;Government;Mature;EMEA;Germany;Hesse;2023-04-03;2023-05-06;Lost;340;22462,32;0,6;Wireless Charger Pad;Accessories;66
Negotiation;Enterprise;Mid-Level;Premium;Partner Program;Technology;Mature;North America;United States;Texas;2023-03-13;2023-05-07;Won;121;84518,73;0,7;"Tablet Pro 11"" 128 GB";Devices;694
Prospecting;Mid-Market;Junior;Premium;Conference;Healthcare;Mature;North America;Canada;Quebec;2023-04-17;2023-05-07;Lost;89;49018,36;0,1;Smart Speaker Max;Devices;546
Prospecting;Enterprise;Senior;Premium;Digital Ads;Manufacturing;Mature;North America;United States;New York;2023-04-25;2023-05-07;Lost;86;119260,95;0,1;Onsite Training;Services;1382
Prospecting;Mid-Market;Senior;Basic;Partner Program;Finance;Mature;EMEA;United Kingdom;England;2023-04-12;2023-05-08;Lost;472;31199,26;0,2;Wireless Charger Pad;Accessories;66
Proposal;Enterprise;Principal;Premium;Partner Program;Finance;Mature;North America;United States;Washington;2023-04-25;2023-05-08;Won;77;114772,17;0,5;Data Migration;Services;1487
Proposal;Mid-Market;Mid-Level;Standard;Digital Ads;Retail;Emerging;LATAM;Brazil;Rio de Janeiro;2023-02-10;2023-05-09;Lost;280;56310,01;0,4;Smart Speaker Mini;Devices;201
Proposal;Enterprise;Mid-Level;Standard;Conference;Healthcare;Emerging;LATAM;Mexico;Jalisco;2023-03-19;2023-05-10;Won;599;95914,6;0,4;Office Suite Enterprise;Software;160
Qualification;Mid-Market;Senior;Premium;Email Campaign;Manufacturing;Mature;EMEA;Germany;Bavaria;2023-03-20;2023-05-10;Lost;24;36355,32;0,3;Data Migration;Services;1487
Negotiation;Mid-Market;Senior;Basic;Email Campaign;Technology;Growth;APAC;Japan;Osaka;2023-03-05;2023-05-11;Won;661;66133,87;0,6;"E-reader Lite 6"" 8 GB";Devices;100
Qualification;Mid-Market;Mid-Level;Standard;Email Campaign;Technology;Mature;North America;United States;New York;2023-04-05;2023-05-11;Lost;346;69676,08;0,2;Smart Speaker Mini;Devices;201
Proposal;Mid-Market;Mid-Level;Basic;Conference;Education;Growth;APAC;Australia;New South Wales;2023-04-27;2023-05-12;Lost;285;33357,61;0,5;"Protective Case 6""";Accessories;117
Prospecting;Mid-Market;Senior;Premium;Conference;Finance;Mature;North America;United States;New York;2023-03-26;2023-05-12;Lost;88;75821,54;0,0;Extended Warranty;Services;855
Negotiation;Mid-Market;Senior;Premium;Partner Program;Healthcare;Mature;North America;United States;Texas;2023-03-12;2023-05-13;Won;83;68497,16;0,6;Premium Support;Services;819
Proposal;Enterprise;Junior;Premium;Conference;Finance;Mature;EMEA;Spain;Catalonia;2023-03-09;2023-05-13;Won;135;115457,55;0,6;Extended Warranty;Services;855
Qualification;SMB;Mid-Level;Basic;Webinar;Technology;Growth;APAC;Japan;Osaka;2023-04-13;2023-05-14;Lost;244;16138,48;0,4;Wireless Charger Pad;Accessories;66
Negotiation;SMB;Mid-Level;Basic;Email Campaign;Technology;Emerging;LATAM;Mexico;Jalisco;2023-04-22;2023-05-14;Lost;577;16758,87;0,7;Stylus Pro;Accessories;29
Proposal;Enterprise;Mid-Level;Premium;Digital Ads;Healthcare;Mature;EMEA;Spain;Catalonia;2023-03-18;2023-05-15;Won;180;98355,9;0,6;Smart Speaker Max;Devices;546
Proposal;Mid-Market;Junior;Basic;Digital Ads;Healthcare;Mature;EMEA;France;Auvergne-Rhône-Alpes;2023-04-13;2023-05-16;Lost;461;30446,55;0,4;Wireless Charger Pad;Accessories;66
Proposal;Mid-Market;Principal;Standard;Digital Ads;Healthcare;Mature;EMEA;Spain;Madrid;2023-01-22;2023-05-18;Lost;80;31746,3;0,4;Installation Service;Services;393
Proposal;Mid-Market;Senior;Basic;Conference;Education;Mature;North America;United States;New York;2023-04-14;2023-05-18;Won;1508;43735,54;0,6;Stylus Pro;Accessories;29
Qualification;Mid-Market;Principal;Premium;Digital Ads;Healthcare;Mature;EMEA;Germany;Bavaria;2023-05-03;2023-05-19;Lost;75;59233,49;0,3;"E-reader Platinum 8"" 32 GB";Devices;780
Prospecting;SMB;Mid-Level;Basic;Partner Program;Technology;Growth;APAC;India;Maharashtra;2023-04-08;2023-05-20;Lost;167;17957,93;0,2;Premium Headphones;Accessories;107
Qualification;Enterprise;Principal;Standard;Digital Ads;Education;Mature;North America;United States;California;2023-04-20;2023-05-25;Lost;414;83380,21;0,3;Smart Speaker Mini;Devices;201
Negotiation;Mid-Market;Mid-Level;Premium;Email Campaign;Manufacturing;Mature;North America;United States;California;2023-03-29;2023-05-27;Won;81;67031,88;0,6;Premium Support;Services;819
Negotiation;Mid-Market;Junior;Basic;Digital Ads;Education;Mature;EMEA;United Kingdom;Scotland;2023-05-12;2023-05-30;Won;244;28562,78;0,6;Cloud Sync Pro;Software;117
Qualification;Mid-Market;Mid-Level;Basic;Email Campaign;Manufacturing;Mature;North America;Canada;British Columbia;2023-05-12;2023-05-31;Won;609;40258,4;0,3;Wireless Charger Pad;Accessories;66
Proposal;Mid-Market;Principal;Basic;Digital Ads;Manufacturing;Mature;EMEA;Spain;Catalonia;2023-04-09;2023-05-31;Won;481;41440,62;0,6;Travel Adapter Kit;Accessories;86
Negotiation;Enterprise;Junior;Premium;Conference;Manufacturing;Mature;North America;Canada;Ontario;2023-04-22;2023-06-02;Lost;111;95449,11;0,7;Extended Warranty;Services;855
Qualification;Mid-Market;Principal;Premium;Conference;Technology;Mature;North America;Canada;British Columbia;2023-04-27;2023-06-02;Lost;91;49973,63;0,3;Smart Speaker Max;Devices;546
Final Review;SMB;Senior;Standard;Email Campaign;Government;Mature;North America;United States;California;2023-04-06;2023-06-03;Won;106;19296,54;1,0;Office Suite Basic;Software;181
Qualification;Enterprise;Principal;Premium;Partner Program;Healthcare;Mature;EMEA;Spain;Madrid;2023-05-16;2023-06-03;Won;104;89503,59;0,3;Extended Warranty;Services;855
Proposal;Mid-Market;Mid-Level;Basic;Email Campaign;Education;Mature;EMEA;Denmark;Hovedstaden;2023-04-03;2023-06-03;Won;748;21713,17;0,6;Stylus Pro;Accessories;29
Negotiation;Mid-Market;Principal;Standard;Digital Ads;Government;Mature;EMEA;Germany;Berlin;2023-03-30;2023-06-03;Lost;278;50408,42;0,7;Office Suite Basic;Software;181
Prospecting;Mid-Market;Principal;Premium;Conference;Education;Mature;North America;Canada;Quebec;2023-05-02;2023-06-04;Lost;78;61603,92;0,1;"E-reader Platinum 8"" 32 GB";Devices;780
Prospecting;Mid-Market;Senior;Premium;Conference;Government;Mature;North America;Canada;British Columbia;2023-03-12;2023-06-05;Won;24;36613,05;0,1;Data Migration;Services;1487
Prospecting;Mid-Market;Mid-Level;Basic;Digital Ads;Manufacturing;Mature;North America;Canada;British Columbia;2023-03-18;2023-06-06;Lost;591;59114,12;0,0;"E-reader Lite 6"" 8 GB";Devices;100
Qualification;Mid-Market;Principal;Basic;Conference;Healthcare;Mature;EMEA;Denmark;Hovedstaden;2023-04-22;2023-06-06;Won;484;56636,04;0,4;Cloud Sync Pro;Software;117
Prospecting;Mid-Market;Mid-Level;Premium;Digital Ads;Finance;Mature;North America;United States;Texas;2023-04-14;2023-06-07;Lost;137;74923,47;0,0;Smart Speaker Max;Devices;546
Proposal;Mid-Market;Principal;Standard;Email Campaign;Manufacturing;Growth;APAC;Japan;Tokyo;2023-05-08;2023-06-08;Lost;281;45114,18;0,5;Office Suite Enterprise;Software;160
Prospecting;Mid-Market;Principal;Basic;Partner Program;Manufacturing;Mature;EMEA;Spain;Madrid;2023-04-24;2023-06-09;Won;778;77885,67;0,2;"E-reader Lite 6"" 8 GB";Devices;100
Negotiation;Mid-Market;Senior;Basic;Conference;Manufacturing;Growth;APAC;India;Delhi;2023-05-18;2023-06-10;Won;666;77959,7;0,8;"Protective Case 6""";Accessories;117
Negotiation;Mid-Market;Principal;Standard;Conference;Education;Mature;North America;United States;New York;2023-05-14;2023-06-13;Won;254;46010,09;0,8;Office Suite Basic;Software;181
Qualification;Mid-Market;Mid-Level;Standard;Partner Program;Finance;Growth;APAC;Australia;Victoria;2023-04-20;2023-06-15;Won;190;46426,06;0,4;ReadingPlus Annual;Software;244
Negotiation;Mid-Market;Principal;Premium;Digital Ads;Finance;Mature;North America;Canada;Ontario;2023-05-09;2023-06-17;Lost;43;60542,15;0,7;Onsite Training;Services;1382
Qualification;Enterprise;Principal;Standard;Email Campaign;Manufacturing;Mature;EMEA;Germany;Berlin;2023-05-19;2023-06-17;Lost;223;87884,65;0,3;Installation Service;Services;393
Proposal;Mid-Market;Senior;Basic;Partner Program;Finance;Mature;North America;United States;Texas;2023-05-05;2023-06-18;Won;290;34032,83;0,5;Cloud Sync Pro;Software;117
Negotiation;Mid-Market;Mid-Level;Standard;Conference;Government;Mature;EMEA;Denmark;Hovedstaden;2023-03-16;2023-06-18;Won;341;54648,85;0,7;Office Suite Enterprise;Software;160
